Condition #,smiles,Control_PCE,PCE_difference,target_PCE,Doi
49,O=C1NSc2ccccc12,19.91,1.92,21.83,https://doi.org/10.1002/solr.202100472
50,FC1=CNC(=O)NC1=O,15.1,5.12,20.22,https://doi.org/10.1039/D1TC03852D
51,[Br-].NC([NH3+])=N,20.1,2.6,22.7,https://doi.org/10.1002/aenm.202201672
52,NC(=O)C=C,20.1,2,22.1,https://doi.org/10.1021/acsenergylett.1c01487
53,FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N,18.9,1.1,20,https://doi.org/10.1002/solr.202100249
54,NCC(F)F,19.1,1.24,20.34,https://doi.org/10.1002/anie.202216634
55,NCC(F)(F)F,19.1,1.54,20.64,https://doi.org/10.1002/anie.202216634
56,NC(=N)C(F)(F)F,19.1,2.25,21.35,https://doi.org/10.1002/anie.202216634
57,[Br-].CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,16.5,2.24,18.74,https://doi.org/10.1021/acsaem.2c03611
58,[Br-].CCCC[NH3+],17.5,2.3,19.8,https://doi.org/10.1002/adfm.201909919
59,[Br-].C[N+](C)(C)c1ccccc1,18.4,1.4,19.8,https://doi.org/10.1016/j.cej.2022.136626
60,[I-].NC([NH3+])=N,15.75,1.82,17.57,https://doi.org/10.1002/solr.202000740
61,[Cl-].C[NH3+],16.4,1.5,17.9,10.1016/j.joule.2018.10.003
62,[I-].[NH3+]CCc1ccccc1,18.93,1.18,20.11,https://doi.org/10.1002/anie.202216668
63,[I-].[NH3+]CCc1ccc(F)cc1,18.93,2.7,21.63,https://doi.org/10.1002/anie.202216668
64,NCc1cccc2ccccc12,16.3,1.3,17.6,https://doi.org/10.1002/adfm.201906763
65,[H+].[Cl-].NC(N)=NC(N)=NCCc1ccccc1,16.7,2.5,19.2,https://doi.org/10.1016/j.joule.2021.05.013
66,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,18.59,1.94,20.53,https://doi.org/10.1002/adma.202201315
67,COc1ccc(CSC[C@H](NC(=O)OC(C)(C)C)C(O)=O)cc1,18.57,3.18,21.75,https://doi.org/10.1002/adma.202301140
68,CC(C)(C)OC(=O)N[C@@H](CSCc1ccccc1)C(O)=O,18.57,1.87,20.44,https://doi.org/10.1002/adma.202301140
69,COc1ccc(CSC[C@H](NC(=O)OCC2c3ccccc3c4ccccc24)C(O)=O)cc1,18.57,2.25,20.82,https://doi.org/10.1002/adma.202301140
70,[I-].Nc1scc[nH+]1,10.12,3.79,13.91,DOI: 10.1016/j.nanoen.2019.104180
71,Cc1ccc(cn1)C(N)=O,22.21,2.12,24.33,https://doi.org/10.1021/acsami.0c12030
72,NC(=O)c1cccnc1,22.21,1.78,23.99,https://doi.org/10.1021/acsami.0c12030
73,FC(F)(F)[S](=O)(=O)Oc1ccc2ccc(O[S](=O)(=O)C(F)(F)F)cc2c1,20.52,2.85,23.37,https://doi.org/10.1002/aenm.202300983
74,O=C1Oc2ccccc2C=C1,22.84,1.3,24.14,DOI:?10.1002/adma.202302752
75,COc1cc(C=CC(O)=O)ccc1O,17.33,1.98,19.31, https://doi.org/10.1002/adfm.202303673
76,OCCC(F)(F)C(F)(F)C(F)(F)C(O)(F)F.OC(=O)C=C.OC(=O)C=C,22.28,2.48,24.76,https://doi.org/10.1002/anie.202305221
77,NC[S](O)(=O)=O,17.16,-0.83,16.33,https://doi.org/10.1021/acsaem.0c00137
78,CC(N)[S](O)(=O)=O,17.16,2.5,19.66,https://doi.org/10.1021/acsaem.0c00137
79,NCCC[S](O)(=O)=O,17.16,1.84,19,https://doi.org/10.1021/acsaem.0c00137
80,[IH2+].[NH3+]c1ccc(cc1)C(F)(F)F,17.98,2.13,20.11,https://doi.org/10.1016/j.cej.2023.143860
81,Cl.NC(=N)c1sccc1,20.92,2.36,23.28,https://doi.org/10.1016/j.cej.2023.143392
82,Cl.NC(=N)c1ccccc1,20.92,1.55,22.47,https://doi.org/10.1016/j.cej.2023.143392
83,CCCCCCCCCc1ccnc(c1)c2cc(CCCCCCCCC)ccn2,22.15,1.87,24.02,https://doi.org/10.1016/j.jechem.2023.03.003
84,[I-].NCCc1ccccc1,22.31,0.75,23.06,DOI:?10.1021/acsenergylett.3c00410
85,[I-].CC[NH3+].[nH]1c2ccccc2c3ccccc13,22.31,1.83,24.14,DOI:?10.1021/acsenergylett.3c00410
86,O=C1\C(Nc2ccccc12)=C/3Nc4ccccc4C3=O,20,3.22,23.22,https://doi.org/10.1002/aenm.202200537
87,[O-]C(=O)CC12CC3CC(CC(C3)C1)C2,21,0.67,21.67,https://doi.org/10.1002/adfm.202205507
88,OC(=O)C12CC3CC(CC(C3)C1)C2,21,1.01,22.01,https://doi.org/10.1002/adfm.202205507
89,O=C1C2CC3CC(C2)CC1C3,21,1.82,22.82,https://doi.org/10.1002/adfm.202205507
90,C1COCCN1,20.88,0.7,21.58,https://doi.org/10.1016/j.nanoen.2022.107200
91,O=C1COCCN1,20.88,1.96,22.84,https://doi.org/10.1016/j.nanoen.2022.107200
92,C[S](=O)(=O)N1CC[NH2+]CC1,21.2,2.2,23.4,https://doi.org/10.1016/j.nanoen.2021.106856
93,c1cnc2ncccc2c1,21.6,2.2,23.8,https://doi.org/10.1016/j.cej.2022.137806
94,O=C1N=CNc2nc[nH]c12,20.42,1.72,22.14,https://doi.org/10.1016/j.cej.2022.135269
95,NC1=CC=NC(=O)N1,20.07,2.01,22.08,https://doi.org/10.1016/j.cej.2022.139535
96,OC(=O)C1=CC(=O)NC=C1,17.07,2.19,19.26,https://doi.org/10.1016/j.cej.2021.131676
97,OC(=O)C1=CC(=O)Nc2ccccc12,17.07,3.33,20.4,https://doi.org/10.1016/j.cej.2021.131676
